wavelength flux
4888.269662921348 79.187256
4890.878847093307 65.00467
4893.488031265266 55.483505
4896.097215437225 68.41781
4898.706399609184 82.29625
4901.315583781143 72.26453
4903.924767953102 55.12991
4906.533952125061 79.48598
4909.14313629702 82.62732
4911.752320468979 67.26011
4914.361504640938 84.111664
4916.970688812897 58.948135
4919.579872984856 64.29922
4922.189057156815 90.22789
4924.798241328774 123.63635
4927.407425500733 87.63315
4930.016609672692 76.98161
4932.625793844651 66.81392
4935.23497801661 78.23568
4937.844162188569 72.67627
4940.453346360528 56.84755
4943.062530532487 83.681305
4945.671714704446 76.93413
4948.2808988764045 67.79439
4950.8900830483635 79.93184
4953.4992672203225 133.41069
4956.1084513922815 334.39014
4958.7176355642405 3376.3333
4961.3268197361995 5114.8394
4963.936003908158 3629.4646
4966.545188080117 465.52405
4969.154372252076 98.17469
4971.763556424035 101.82103
4974.372740595994 82.347626
4976.981924767953 75.04837
4979.591108939912 72.29093
4982.200293111871 76.87875
4984.80947728383 69.03355
4987.418661455789 75.12499
4990.027845627748 66.93157
4992.637029799707 103.760025
4995.246213971666 92.114426
4997.855398143625 70.38561
5000.464582315584 82.839325
5003.073766487543 383.4438
5005.682950659502 5600.6377
5008.292134831461 14868.566
5010.90131900342 12884.71
5013.510503175378 4261.5605
5016.119687347337 -130.35324
5018.728871519296 252.89307
5021.338055691255 83.978226
5023.947239863214 73.18581
5026.556424035173 41.70789
5029.165608207132 82.81761
5031.774792379091 70.93473
5034.38397655105 60.085255
5036.993160723009 57.03334
5039.602344894968 75.11872
5042.211529066927 68.52166
5044.820713238886 58.236423
5047.429897410845 76.78974
5050.039081582804 63.58793
5052.648265754763 61.431187
5055.257449926722 64.59842
5057.866634098681 66.14495
5060.47581827064 80.42615
5063.085002442599 83.21157
5065.694186614558 69.25827
5068.303370786517 64.13946
5070.912554958476 69.29513
5073.521739130435 71.49423
5076.130923302394 59.5436
5078.740107474353 64.06584
5081.349291646312 69.520256
5083.958475818271 65.321396
5086.56765999023 73.701515
5089.176844162189 56.892097
5091.786028334147 54.162697
5094.395212506106 55.057674
5097.004396678065 77.91753
5099.613580850024 66.419525
5102.222765021983 61.338783
5104.831949193942 62.604942
5107.441133365901 53.14694
5110.05031753786 56.324337
5112.659501709819 46.427227
5115.268685881778 51.207996
5117.877870053737 59.814613
5120.487054225696 56.110588
5123.096238397655 46.94495
5125.705422569614 77.2401
5128.314606741573 69.95444
5130.923790913532 70.58735
5133.532975085491 53.040527
5136.14215925745 61.99861
5138.751343429409 65.422935
5141.360527601368 52.028564
5143.969711773327 53.08232
5146.578895945286 55.31122
5149.188080117245 44.98241
5151.797264289204 62.940426
5154.406448461163 56.470123
5157.015632633122 59.171978
5159.624816805081 76.54354
